Id,TypeId,PhaseCreated,PhaseDemolished,DesignOption,AssemblyName,IfcGUID,Comments,HostId,Level,HeadHeight,SillHeight,FrameMaterial,FrameType,Finish,Mark,DoorClosed,ValueGroup,Unwalkable
379335,400794,118390,,,,,,376354,355928,,,,,,,0,,
380080,400794,118390,,,,,,380017,355884,,,,,,,,,
380711,400794,118390,,,,,,364514,355884,,,,,,,,,
381178,400794,118390,,,,,,360139,355884,,,,,,,,,
381924,400794,118390,,,,,,359780,355884,,,,,,,0,,
382322,400794,118390,,,,,,382240,355884,,,,,,,,,
382364,400794,118390,,,,,,360402,355884,,,,,,,,,
382442,402171,118390,,,,,,358495,355884,,,,,,,,,
382541,402171,118390,,,,,,359541,355884,,,,,,,0,,
382592,400794,118390,,,,,,360277,355884,,,,,,,,,
383333,402171,118390,,,,,,358998,355884,,,,,,,0,,
388610,388579,118390,,,,,,380417,355884,2.032,0,,,,3,,,
388675,388587,118390,,,,,,366339,355884,2.032,0,,,,4,,,
388730,388587,118390,,,,,,366339,355884,2.032,0,,,,5,,,
388818,59784,118390,,,,,,366038,355884,2.032,0,,,,6,,,
388918,59784,118390,,,,,,366283,355884,2.032,0,,,,7,,,
388962,59784,118390,,,,,,365964,355884,2.032,0,,,,8,,,
389028,59784,118390,,,,,,365936,355884,2.032,0,,,,9,,,
389090,400794,118390,,,,,,364335,355884,,,,,,,,,
389358,388587,118390,,,,,,367713,355884,2.032,0,,,,10,,,
397301,397249,118390,,,,,,367932,355884,2.29,0,,,,11,,,
397367,397249,118390,,,,,,367932,355884,2.29,0,,,,12,,,
397430,397249,118390,,,,,,395361,355884,2.29,0,,,,13,,,
397504,397249,118390,,,,,,395455,355928,2.29,0,,,,14,,,
398851,400794,118390,,,,,,359946,355884,,,,,,,,,
398907,400794,118390,,,,,,361876,355884,,,,,,,,,
398919,400794,118390,,,,,,361876,355884,,,,,,15,,,
398938,400794,118390,,,,,,362080,355884,,,,,,,,,
398954,400794,118390,,,,,,363071,355884,,,,,,,,,
399027,400794,118390,,,,,,376666,355928,,,,,,,1,,1
399030,400794,118390,,,,,,415332,355928,,,,,,,,,
399106,400794,118390,,,,,,382021,355884,,,,,,,,,
399110,400794,118390,,,,,,382221,355884,,,,,,,,,
399118,400794,118390,,,,,,382240,355884,,,,,,,,,
410785,59772,118390,,,,,,374103,355884,2.1336,0,,,,20,,,
410888,59772,118390,,,,,,368461,355884,2.1336,0,,,,21,,,
410965,59772,118390,,,,,,368130,355884,2.1336,0,,,,22,,,
411078,407809,118390,,,,,,362524,355884,2.1336,0,,,,23,1,,1
413779,400794,118390,,,,,,413772,355884,,,,,,28,,,
413994,400794,118390,,,,,,413987,355884,,,,,,29,,,
414137,400794,118390,,,,,,414129,355884,,,,,,30,,,
414293,400794,118390,,,,,,414286,355884,,,,,,31,,,
415883,400794,118390,,,,,,415876,355928,,,,,,,,,
416404,400794,118390,,,,,,416401,355928,,,,,,36,,,
416667,400794,118390,,,,,,416664,355928,,,,,,38,,,
416921,400794,118390,,,,,,416918,355928,,,,,,39,,,
417067,400794,118390,,,,,,417000,355928,,,,,,,,,
418674,400794,118390,,,,,,418655,355884,,,,,,,1,,1
